example,word
a lavish wedding entails extensive planning and often staggering expense,entail
"in their bitter custody battle, the divorcing couple are at a total impasse",impasse
the invasion of the Soviet Union by Germany during World War II,invasion
the results of this experiment are optimal,optimal
"the new neighbor is threatening to become a nuisance, dropping in on us several times a day",nuisance
"a gallant firefighter, rushing into the burning house to save the children",gallant
the fatuous questions that the audience members asked after the lecture suggested to the oceanographer that they had understood little,fatuous
the novel's protagonist is haunted by a minatory black specter,minatory
"constant interruptions discomfited her in her attempt to finish the speech, and she finally gave up",discomfit 
The broken glass lacerated his feet.,lacerate
