antonyms,word
"alienate, supersede, nullify, prevent, obviate",entail
"solution, boon, agreement, breakthrough",impasse
"obedience, retreat, surrender, withdrawal",invasion
"common, fair, indifferent, mediocre, medium, middling, ordinary",optimal
"charmer, smoothy, comforter, solacer, soother",nuisance
"diffident, mousy (or mousey), scary, shy, skittish, timid",gallant
"acute, astute, discerning, insightful, keen, knowing",fatuous
"auspicious, benign, bright, encouraging, favorable",minatory
"advance, cultivate, encourage, forward, foster",discomfit 
"brand-new, new, spick-and-span, unused",lacerate
